lessonName,lessonPrice
word0 ,0
word1 ,1
word2 ,2
word3 ,3
word4 ,4
word5 ,5
word6 ,6
word7 ,7
word8 ,8
word9 ,9
word10 ,10
word11 ,11
word12 ,12
word13 ,13
word14 ,14
word15 ,15
word16 ,16
word17 ,17
word18 ,18
word19 ,19
word20 ,20
word21 ,21
word22 ,22
word23 ,23
word24 ,24
word25 ,25
word26 ,26
word27 ,27
word28 ,28
word29 ,29
word30 ,30
word31 ,31
word32 ,32
word33 ,33
word34 ,34
word35 ,35
word36 ,36
word37 ,37
word38 ,38
word39 ,39
word40 ,40
word41 ,41
word42 ,42
word43 ,43
word44 ,44
word45 ,45
word46 ,46
word47 ,47
word48 ,48
word49 ,49
word50 ,50
word51 ,51
word52 ,52
word53 ,53
word54 ,54
word55 ,55
word56 ,56
word57 ,57
word58 ,58
word59 ,59
word60 ,60
word61 ,61
word62 ,62
word63 ,63
word64 ,64
word65 ,65
word66 ,66
word67 ,67
word68 ,68
word69 ,69
word70 ,70
word71 ,71
word72 ,72
word73 ,73
word74 ,74
word75 ,75
word76 ,76
word77 ,77
word78 ,78
word79 ,79
word80 ,80
word81 ,81
word82 ,82
word83 ,83
word84 ,84
word85 ,85
word86 ,86
word87 ,87
word88 ,88
word89 ,89
word90 ,90
word91 ,91
word92 ,92
word93 ,93
word94 ,94
word95 ,95
word96 ,96
word97 ,97
word98 ,98
word99 ,99
word100 ,100
word101 ,101
word102 ,102
word103 ,103
word104 ,104
word105 ,105
word106 ,106
word107 ,107
word108 ,108
word109 ,109
word110 ,110
word111 ,111
word112 ,112
word113 ,113
word114 ,114
word115 ,115
word116 ,116
word117 ,117
word118 ,118
word119 ,119
word120 ,120
word121 ,121
word122 ,122
word123 ,123
word124 ,124
word125 ,125
word126 ,126
word127 ,127
word128 ,128
word129 ,129
word130 ,130
word131 ,131
word132 ,132
word133 ,133
word134 ,134
word135 ,135
word136 ,136
word137 ,137
word138 ,138
word139 ,139
word140 ,140
word141 ,141
word142 ,142
word143 ,143
word144 ,144
word145 ,145
word146 ,146
word147 ,147
word148 ,148
word149 ,149
word150 ,150
word151 ,151
word152 ,152
word153 ,153
word154 ,154
word155 ,155
word156 ,156
word157 ,157
word158 ,158
word159 ,159
word160 ,160
word161 ,161
word162 ,162
word163 ,163
word164 ,164
word165 ,165
word166 ,166
word167 ,167
word168 ,168
word169 ,169
word170 ,170
word171 ,171
word172 ,172
word173 ,173
word174 ,174
word175 ,175
word176 ,176
word177 ,177
word178 ,178
word179 ,179
word180 ,180
word181 ,181
word182 ,182
word183 ,183
word184 ,184
word185 ,185
word186 ,186
word187 ,187
word188 ,188
word189 ,189
